leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,EA GUINGAMP,1,0,1,0,0,0,0
2,QRM,1,0,1,0,1,1,0
3,PAU FC,3,1,0,2,2,3,-1
4,RODEZ AF,5,1,2,1,2,5,-3
5,EA GUINGAMP,6,1,3,1,3,4,-1
6,EA GUINGAMP,7,1,4,1,4,5,-1
7,NIORT,8,2,2,3,4,8,-4
8,EA GUINGAMP,10,2,4,2,5,7,-2
9,EA GUINGAMP,10,2,4,3,6,9,-3
10,VAFC,12,3,3,4,8,13,-5
11,EA GUINGAMP,14,3,5,3,10,12,-2
12,NÎMES,14,3,5,4,14,14,0
13,DIJON FCO,16,5,1,7,14,19,-5
14,USL DUNKERQUE,16,4,4,6,14,17,-3
15,NÎMES,17,4,5,6,17,19,-2
16,VAFC,19,5,4,7,13,22,-9
17,QRM,20,5,5,7,16,22,-6
18,SM CAEN,21,5,6,7,20,19,1
19,DIJON FCO,23,7,2,10,24,27,-3
20,SC BASTIA,23,5,8,7,19,19,0
21,QRM,25,6,7,8,21,29,-8
22,AMIENS SC,25,5,10,7,26,21,5
23,EA GUINGAMP,27,6,9,8,25,32,-7
24,DIJON FCO,29,9,2,13,29,34,-5
25,RODEZ AF,30,7,9,9,21,26,-5
26,DIJON FCO,30,9,3,14,30,36,-6
27,SM CAEN,32,8,8,11,33,30,3
28,DIJON FCO,34,10,4,14,31,36,-5
29,NIORT,36,10,6,13,29,31,-2
30,AMIENS SC,37,8,13,9,37,33,4
31,NÎMES,39,11,6,14,35,41,-6
32,NÎMES,40,11,7,14,35,41,-6
33,NÎMES,40,11,7,15,36,44,-8
34,PAU FC,42,12,6,16,34,43,-9
35,DIJON FCO,43,12,7,16,41,47,-6
36,DIJON FCO,43,12,7,16,41,47,-6
