leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,GRENOBLE,0,0,0,1,0,4,-4
2,NANCY,0,0,0,2,1,6,-5
3,GRENOBLE,1,0,1,2,0,7,-7
4,NANCY,1,0,1,3,2,8,-6
5,DIJON FCO,1,0,1,4,6,12,-6
6,DIJON FCO,1,0,1,5,6,14,-8
7,USL DUNKERQUE,3,0,3,4,5,10,-5
8,USL DUNKERQUE,3,0,3,5,5,12,-7
9,USL DUNKERQUE,3,0,3,6,5,14,-9
10,USL DUNKERQUE,6,1,3,6,7,15,-8
11,USL DUNKERQUE,9,2,3,6,9,15,-6
12,AMIENS SC,9,1,6,5,11,16,-5
13,SC BASTIA,11,2,5,6,9,14,-5
14,SC BASTIA,12,2,6,6,9,14,-5
15,AMIENS SC,14,2,8,5,14,16,-2
16,AMIENS SC,15,2,9,5,15,17,-2
17,USL DUNKERQUE,16,4,4,9,14,22,-8
18,USL DUNKERQUE,16,4,4,10,14,24,-10
19,USL DUNKERQUE,16,4,4,11,15,26,-11
20,USL DUNKERQUE,17,4,5,11,16,27,-11
21,USL DUNKERQUE,17,4,5,12,16,29,-13
22,USL DUNKERQUE,18,4,6,12,16,29,-13
23,USL DUNKERQUE,21,5,6,12,17,29,-12
24,USL DUNKERQUE,24,6,6,12,19,29,-10
25,USL DUNKERQUE,24,6,6,13,19,31,-12
26,GRENOBLE,25,7,4,15,20,36,-16
27,USL DUNKERQUE,27,7,6,14,21,34,-13
28,GRENOBLE,29,8,5,15,21,36,-15
29,USL DUNKERQUE,30,8,6,15,22,35,-13
30,USL DUNKERQUE,30,8,6,16,23,37,-14
31,USL DUNKERQUE,30,8,6,17,24,39,-15
32,USL DUNKERQUE,30,8,6,18,25,41,-16
33,USL DUNKERQUE,30,8,6,19,25,44,-19
34,USL DUNKERQUE,30,8,6,20,26,46,-20
35,USL DUNKERQUE,30,8,6,20,26,46,-20
