id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
69289,20210724,1500,1,11,SCB,8,NO,1,1,59.5,48.2,66.7,8,1,4,459,68,83.2,71.2,18,27.8,11,4,0,5,6,36.4,12,41.7,7,25,2,0,40.5,51.8,33.3,9,1,2,315,58,74.0,54.4,13,30.8,10,5,4,2,8,50.0,19,57.9,15,15,2,0
69288,20210724,1900,1,17,ASC,4,AJA,1,2,46.5,45.6,33.3,6,5,9,366,65,76.8,54.0,21,28.6,10,4,3,3,7,40.0,9,77.8,12,12,2,0,53.5,54.4,66.7,14,0,5,428,51,81.5,67.0,18,22.2,12,5,1,4,8,41.7,13,53.8,22,18,3,0
69290,20210724,1900,1,2,SMC,20,RAF,4,0,47.6,53.5,51.3,11,2,2,379,63,81.8,69.0,10,20.0,13,5,5,7,6,38.5,17,47.1,25,16,1,0,52.4,46.5,48.7,11,3,8,405,65,81.5,70.0,27,33.3,15,7,3,8,7,46.7,12,58.3,9,13,2,0
69292,20210724,1900,1,10,USLD,9,QRM,1,1,59.8,52.8,41.2,12,1,5,437,67,79.4,60.8,16,18.8,7,3,1,1,6,42.9,21,52.4,8,18,3,0,40.2,47.2,58.8,17,0,5,290,62,63.8,50.0,12,16.7,5,3,1,1,4,60.0,13,76.9,18,27,1,0
69293,20210724,1900,1,19,GF38,1,PFC,0,4,44.7,42.4,44.4,4,1,5,431,52,84.2,68.8,6,33.3,2,0,0,1,1,0.0,8,25.0,10,9,2,0,55.3,57.6,55.6,6,2,10,532,70,86.8,65.2,19,31.6,18,11,5,4,14,61.1,13,30.8,6,8,0,0
69294,20210724,1900,1,12,HAC,13,EAG,0,0,46.0,50.0,41.7,12,0,4,393,59,76.1,64.7,14,28.6,14,4,5,7,7,28.6,19,68.4,14,14,1,0,54.0,50.0,58.3,13,5,5,452,62,81.0,64.4,24,29.2,16,3,5,8,8,18.8,18,55.6,16,23,2,0
69295,20210724,1900,1,5,PAUFC,16,ASNL,2,1,46.1,46.6,43.8,12,6,2,314,69,68.2,57.9,14,35.7,15,8,3,5,10,53.3,18,72.2,14,22,2,0,53.9,53.4,56.3,5,0,5,368,78,69.0,57.8,18,38.9,11,2,4,4,7,18.2,21,61.9,6,23,1,1
69296,20210724,1900,1,7,TFC,6,ACA,2,2,73.2,44.6,55.0,10,0,10,519,63,90.0,82.6,45,28.9,17,5,6,5,12,29.4,10,50.0,16,19,1,1,26.8,55.4,45.0,5,0,6,193,54,64.2,45.7,16,6.3,11,6,2,9,2,54.5,18,61.1,31,11,4,1
69297,20210724,1900,1,15,VAFC,14,CNFC,0,0,49.3,46.9,47.4,13,3,6,385,51,75.1,61.5,15,13.3,12,1,4,8,4,8.3,22,36.4,14,16,2,0,50.7,53.1,52.6,14,1,7,400,60,79.0,58.8,19,21.1,12,3,3,7,5,25.0,27,44.4,15,15,3,0
69291,20210726,2045,1,18,DFCO,3,FCSM,1,3,49.4,52.3,58.1,7,4,2,382,49,83.0,62.2,14,35.7,9,1,4,3,6,11.1,10,70.0,12,13,2,0,50.6,47.7,41.9,12,3,2,394,59,79.7,63.9,10,20.0,13,6,3,3,10,46.2,19,63.2,9,20,2,0
