leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SMC,3,1,0,0,4,0,4
2,SMC,6,2,0,0,5,0,5
3,TFC,7,2,1,0,7,2,5
4,TFC,10,3,1,0,8,2,6
5,NO,11,3,2,0,8,2,6
6,PFC,13,4,1,1,10,4,6
7,ACA,15,4,3,0,10,4,6
8,ACA,18,5,3,0,12,4,8
9,ACA,19,5,4,0,12,4,8
10,FCSM,20,6,2,2,11,6,5
11,FCSM,23,7,2,2,12,6,6
12,FCSM,26,8,2,2,13,6,7
13,FCSM,27,8,3,2,14,7,7
14,FCSM,28,8,4,2,14,7,7
15,AJA,29,8,5,2,25,15,10
16,ACA,31,9,4,3,18,8,10
17,ACA,32,9,5,3,18,8,10
18,TFC,34,9,7,2,38,17,21
19,TFC,37,10,7,2,40,18,22
20,TFC,40,11,7,2,44,18,26
21,TFC,41,11,8,2,45,19,26
22,ACA,42,12,6,4,21,10,11
23,PFC,44,13,5,5,32,20,12
24,PFC,47,14,5,5,35,20,15
